h3_id,region
87652630effffff,East
876520c92ffffff,North
876526354ffffff,North
876520da8ffffff,Central
876526ac8ffffff,East
876520ca8ffffff,West
876526368ffffff,North
876520c88ffffff,West
876526328ffffff,East
876526348ffffff,North
876526308ffffff,East
876526ae9ffffff,Central
876520d89ffffff,West
876520da9ffffff,Central
876526ac9ffffff,Central
876520ca9ffffff,West
876526a89ffffff,East
876526369ffffff,North
876520c89ffffff,West
876526329ffffff,East
876526349ffffff,North
876520525ffffff,West
876520daaffffff,Central
876520c0affffff,West
876526aeaffffff,East
876520d8affffff,West
876526acaffffff,East
876520caaffffff,West
876520c86ffffff,West
87652636affffff,North
876520c8affffff,West
87652632affffff,East
876520dabffffff,Central
876526aebffffff,Central
876520d8bffffff,West
876526acbffffff,East
876520ca6ffffff,West
876520cabffffff,West
876526a8bffffff,East
87652636bffffff,North
876520c8bffffff,West
87652632bffffff,East
876526aecffffff,East
876520d8cffffff,Central
876520c0cffffff,West
876520dacffffff,Central
876526accffffff,East
876520cacffffff,West
87652636cffffff,North
876520c8cffffff,West
87652632cffffff,East
87652634cffffff,North
876526aedffffff,Central
876520d8dffffff,West
876526acdffffff,Central
876520ce6ffffff,West
876520cadffffff,West
87652636dffffff,North
876520c8dffffff,West
87652632dffffff,East
87652634dffffff,North
87652630dffffff,East
876526309ffffff,North
876526a0effffff,East
876520c0effffff,West
876526aeeffffff,East
876520d8effffff,Central
876526aceffffff,East
876520caeffffff,West
87652636effffff,North
876520c8effffff,West
87652632effffff,East
87652634effffff,North
876526303ffffff,East
876526264ffffff,North
876520526ffffff,West
876520c30ffffff,West
876526af0ffffff,East
876520d90ffffff,Central
876520cf0ffffff,West
876526ad0ffffff,East
876520cb0ffffff,West
876526370ffffff,East
876520c94ffffff,North
876520c90ffffff,North
876526350ffffff,North
876526356ffffff,North
876520db1ffffff,Central
876520c11ffffff,West
876526af1ffffff,East
876520d91ffffff,Central
876526ad1ffffff,East
876520cb1ffffff,West
876526371ffffff,East
876520c91ffffff,North
876526331ffffff,East
876526351ffffff,North
876526a52ffffff,East
876520c32ffffff,West
876520d86ffffff,Central
876520db2ffffff,Central
876520c12ffffff,West
876526af2ffffff,East
876520d92ffffff,Central
876520cf2ffffff,West
876526ad2ffffff,East
876520cb2ffffff,North
876520c33ffffff,West
876520da6ffffff,Central
876520db3ffffff,Central
876520c13ffffff,West
876526af3ffffff,East
876520d93ffffff,Central
876526ad3ffffff,East
876520cb3ffffff,North
876526373ffffff,North
876520c93ffffff,North
876526304ffffff,East
876520db4ffffff,Central
876520c14ffffff,West
876520c34ffffff,West
876526af4ffffff,East
876520d94ffffff,Central
876520cf4ffffff,West
876526ad4ffffff,East
876520cb4ffffff,West
876520cd4ffffff,West
876526374ffffff,East
87652634affffff,North
876526324ffffff,East
876520db5ffffff,Central
876520c15ffffff,West
876526af5ffffff,East
876520d95ffffff,Central
876520cf5ffffff,West
876526ad5ffffff,East
876520cb5ffffff,West
876526375ffffff,East
876520c95ffffff,North
876526355ffffff,North
876520534ffffff,West
876520db6ffffff,Central
876520c16ffffff,West
876526af6ffffff,East
876520d96ffffff,Central
876520cf6ffffff,West
876526ad6ffffff,East
876520cb6ffffff,North
876520cd6ffffff,West
876526376ffffff,East
876520c96ffffff,North
876526306ffffff,East
87652626cffffff,North
876526a58ffffff,Central
876520c18ffffff,West
876520d98ffffff,Central
876526ad8ffffff,East
876520c98ffffff,West
876526358ffffff,North
876526301ffffff,East
876526305ffffff,East
876520c19ffffff,West
876526a59ffffff,Central
876520d99ffffff,West
876526ad9ffffff,East
876520c99ffffff,West
87652634bffffff,North
876526359ffffff,North
876526a5affffff,Central
876520c1affffff,West
876520d9affffff,North
876526adaffffff,East
876520c9affffff,West
876520535ffffff,West
876520522ffffff,West
876526345ffffff,North
876526a5bffffff,Central
876526a1bffffff,East
876520c1bffffff,West
876520d9bffffff,West
876526adbffffff,East
876520c9bffffff,West
876520c1cffffff,West
876520d9cffffff,Central
876526ac6ffffff,East
876526adcffffff,East
876520c9cffffff,West
87652630cffffff,East
87652626dffffff,North
87652635cffffff,North
876526ae6ffffff,East
876526a1dffffff,East
876520c1dffffff,West
876520d9dffffff,Central
876526addffffff,East
876520c9dffffff,West
876526372ffffff,North
87652635dffffff,North
876520c1effffff,West
876520d9effffff,Central
876526adeffffff,East
876520c9effffff,West
876520c08ffffff,West
876526ae0ffffff,East
876526ae8ffffff,East
876526a18ffffff,East
876520db0ffffff,Central
876520d80ffffff,Central
876520d88ffffff,West
876520c10ffffff,West
876520c06ffffff,West
876526a19ffffff,East
876526261ffffff,North
876520523ffffff,West
876520da0ffffff,Central
876526ac0ffffff,East
876520ca0ffffff,West
876526360ffffff,East
876520c80ffffff,West
876526320ffffff,East
876526340ffffff,North
876526346ffffff,North
876520520ffffff,West
876526300ffffff,East
876526265ffffff,North
876526ae1ffffff,East
876520d81ffffff,Central
876526ac1ffffff,East
876520ca1ffffff,West
876526361ffffff,North
876520c81ffffff,West
876526366ffffff,East
876526321ffffff,East
876526341ffffff,North
876520521ffffff,West
876520524ffffff,West
876520da2ffffff,Central
876520c02ffffff,West
876526ae2ffffff,East
876520d82ffffff,Central
876526ac2ffffff,East
876520ca2ffffff,West
876526362ffffff,East
876520c82ffffff,West
876526322ffffff,East
876526342ffffff,North
876520da3ffffff,Central
876520c03ffffff,West
876526ae3ffffff,East
876520d83ffffff,Central
876526ac3ffffff,East
876520ca3ffffff,West
876526363ffffff,North
876520c83ffffff,West
876526323ffffff,East
876526343ffffff,North
876526ae4ffffff,East
876520d84ffffff,Central
876520c04ffffff,West
876526ac4ffffff,East
876520ca4ffffff,West
876526364ffffff,East
876520c84ffffff,West
876526344ffffff,North
876526a5effffff,Central
876526a53ffffff,Central
876520c31ffffff,West
876526a50ffffff,East
876520c01ffffff,West
876526a56ffffff,East
876526a0bffffff,East
876526a0affffff,East
876520c36ffffff,West
876520c00ffffff,West
876520c05ffffff,West
876526ae5ffffff,East
876520d85ffffff,Central
876526ac5ffffff,East
876520ca5ffffff,West
876526365ffffff,East
876520c85ffffff,West
876526325ffffff,East
876520da1ffffff,Central
876520daeffffff,Central
